#--- 	  	 LEM Line data  --- 
#(1) Z              (2) C              (3) T              (4) h           (5) dCdT           (6) dedt            (7) rho          (8) FOUND     (9) Found_dcdt                  (10) Y_O2                  (11) Y_H2O                  (12) Y_CH4                  (13) Y_CO                  (14) Y_CO2                  (15) Y_N2
0.0012605           0.464646            328.943            31207.5                  0                  0            1.06778                  1                  0           0.230368         0.00132011        0.000677232        1.19477e-39         0.00161246           0.766022
0.0012605           0.474747            329.572            31846.5                  0                  0            1.06574                  1                  0           0.230317         0.00134881        0.000664454        1.22075e-39         0.00164752           0.766022
0.0012605           0.484848            330.201            32485.6                  0                  0            1.06371                  1                  0           0.230266         0.00137751        0.000651676        1.24672e-39         0.00168257           0.766022
0.0012605           0.494949             330.83            33124.8                  0                  0            1.06169                  1                  0           0.230215         0.00140621        0.000638898        1.27269e-39         0.00171762           0.766022
0.0012605           0.505051            331.459              33764                  0                  0            1.05967                  1                  0           0.230164         0.00143491         0.00062612        1.29867e-39         0.00175268           0.766022
0.0012605           0.515152            332.089            34403.2                  0                  0            1.05766                  1                  0           0.230113          0.0014636        0.000613342        1.32464e-39         0.00178773           0.766022
0.0012605           0.525253            332.718            35042.5                  0                  0            1.05566                  1                  0           0.230062          0.0014923        0.000600564        1.35061e-39         0.00182278           0.766022
0.0012605           0.535354            333.347            35681.9                  0                  0            1.05367                  1                  0           0.230011           0.001521        0.000587786        1.37659e-39         0.00185784           0.766022
0.0012605           0.545455            333.976            36321.3                  0                  0            1.05168                  1                  0            0.22996          0.0015497        0.000575008        1.40256e-39         0.00189289           0.766022
0.0012605           0.555556            334.605            36960.8                  0                  0            1.04971                  1                  0           0.229909          0.0015784         0.00056223        1.42853e-39         0.00192794           0.766022
0.0012605           0.565657            335.235            37600.4                  0                  0            1.04774                  1                  0           0.229858         0.00160709        0.000549452        1.45451e-39           0.001963           0.766022
0.0012605           0.575758            335.864              38240                  0                  0            1.04577                  1                  0           0.229807         0.00163579        0.000536674        1.48048e-39         0.00199805           0.766022
0.0012605           0.585859            336.493            38879.6                  0                  0            1.04382                  1                  0           0.229756         0.00166449        0.000523896        1.50645e-39         0.00203311           0.766022
0.0012605            0.59596            337.122            39519.3                  0                  0            1.04187                  1                  0           0.229705         0.00169319        0.000511118        1.53243e-39         0.00206816           0.766022
0.0012605           0.606061            337.751            40159.1                  0                  0            1.03993                  1                  0           0.229654         0.00172189         0.00049834         1.5584e-39         0.00210321           0.766022
0.0012605           0.616162            338.381            40798.9                  0                  0              1.038                  1                  0           0.229603         0.00175059        0.000485563        1.58438e-39         0.00213827           0.766022
0.0012605           0.626263             339.01            41438.8                  0                  0            1.03607                  1                  0           0.229552         0.00177928        0.000472785        1.61035e-39         0.00217332           0.766022
0.0012605           0.636364            339.639            42078.8                  0                  0            1.03415                  1                  0           0.229501         0.00180798        0.000460007        1.63632e-39         0.00220837           0.766022
0.0012605           0.646465            340.268            42718.8                  0                  0            1.03224                  1                  0            0.22945         0.00183668        0.000447229         1.6623e-39         0.00224343           0.766022
0.0012605           0.656566            340.897            43358.8                  0                  0            1.03033                  1                  0           0.229399         0.00186538        0.000434451        1.68827e-39         0.00227848           0.766022
